infection_probability,vaccination_probability,recup_probability,death_probability,vaccinated_with_random_vaccination,removed_with_random_vaccination,dead_with_random_vaccination,vaccinated_with_infection_vector_vaccination,removed_with_infection_vector_vaccination,dead_with_infection_vector_vaccination
0.01,0.005,0.005,0.01,45,141,288,95,115,262
0.02,0.01,0.01,0.02,36,143,296,95,142,233
0.03,0.015,0.015,0.03,60,129,285,95,127,252
0.04,0.02,0.02,0.04,71,139,265,95,131,248
0.05,0.025,0.025,0.05,51,147,277,95,109,269
0.06,0.03,0.03,0.06,57,148,270,95,119,258
0.07,0.035,0.035,0.07,48,160,267,95,133,247
0.08,0.04,0.04,0.08,60,142,273,95,117,261
0.09,0.045,0.045,0.09,57,155,263,95,149,232
0.1,0.05,0.05,0.1,68,140,267,95,138,241
